Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.052189,0.0067678,0.012927,0,0,0,2.9852,0.014337,-1.1922E-08,7.3459E-09,0.019036,-4.2142E-09,0.032935,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/base_link.STL,,Lidar Camera Mount-1;Frame Length-4;Frame Length-2;Base Plate-2;DriversBusbarPlate_MiniRover-1;4SBatteryMiniRover-1;Frame Length-6;7208K51_Low-Profile Mounted Sealed Steel Ball Bearing-1;Frame Length-13;Frame Length-8;Frame Length-9;Frame Length-11;Frame Length-14;Frame Length-12;7208K51_Low-Profile Mounted Sealed Steel Ball Bearing-2;Frame Length-5;Frame Length-19;NuckMiniRover-1;Frame Length-18;Frame Length-7;Frame Length-15;Frame Length-16;7208K51_Low-Profile Mounted Sealed Steel Ball Bearing-3,Base Coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RockerL_Link,8.0491E-16,-0.035,3.6082E-16,0,0,0,0.013467,5.5755E-06,1.9214E-21,4.4668E-24,1.5273E-07,-3.7068E-21,5.5755E-06,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/RockerL_Link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/RockerL_Link.STL,,MiniRover Suspension Right Assembly-3/MiniShaft-2,Rocker Shaft L CS,Rocker Shaft L A,RockerL_joint,revolute,0.011312,-0.175,0.03,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
WFL_Link,-0.00030469,-0.0076992,9.7097E-05,0,0,0,0.33748,0.00036362,-3.7017E-08,5.5251E-08,0.00062163,-1.0625E-07,0.00036387,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/WFL_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/WFL_Link.STL,,MiniRover Suspension Right Assembly-3/01-20MiniHexWheelAsm-1,WFL CS,WFL A,WFL_joint,continuous,0.255,-0.071514,-0.19732,0,0,0,RockerL_Link,0,1,0,,,,,,,,,,,,
BogieL_Link,0,-0.029525,-1.3878E-17,0,0,0,0.011327,3.3403E-06,4.7535E-22,1.5966E-23,1.2812E-07,-8.5513E-22,3.3403E-06,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/BogieL_Link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/BogieL_Link.STL,,MiniRover Suspension Right Assembly-3/MiniShaft-1,Bogie L CS,Bogie L A,BogieL_joint,revolute,-0.13419,-0.007669,-0.11241,0,0,0,RockerL_Link,0,-1,0,0,0,0,0,,,,,,,,
WML_Link,-0.000263057971062963,-0.00769918748460646,0.000188444317564401,0,0,0,0.33748168721985,0.000363677647586356,6.67990896952481E-08,1.14854473653684E-07,0.000621631626714055,9.05417702952652E-08,0.000363814398215361,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/WML_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/WML_Link.STL,,MiniRover Suspension Right Assembly-3/01-20MiniHexWheelAsm-3,WML CS,WML A,WML_joint,continuous,0.12452,-0.063845,-0.086756,0,0,0,BogieL_Link,0,1,0,,,,,,,,,,,,
WBL_Link,-0.00030005,-0.0076992,0.00011063,0,0,0,0.33748,0.00036363,-4.1733E-08,6.604E-08,0.00062163,-1.0449E-07,0.00036386,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/WBL_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/WBL_Link.STL,,MiniRover Suspension Right Assembly-3/01-20MiniHexWheelAsm-2,WBL CS,WBL A,WBL_joint,continuous,-0.13481,-0.063845,-0.068524,0,0,0,BogieL_Link,0,1,0,,,,,,,,,,,,
RockerR_Link,-2.7756E-17,0.035,2.0817E-17,0,0,0,0.013467,5.5755E-06,2.4389E-21,1.2098E-24,1.5273E-07,-3.2826E-21,5.5755E-06,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/RockerR_Link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/RockerR_Link.STL,,MiniRover Suspension Left Assembly-2/MiniShaft-2,Rocker Shaft R CS,Rocker Shaft R A,RockerR_joint,revolute,0.011312,0.175,0.03,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
WFR_Link,-0.000253671161038277,0.00769918748460585,0.000200902212580817,0,0,0,0.337481687219786,0.000363743120576253,6.86139099319741E-08,1.33634988904462E-07,0.000621631626714009,8.91743343913024E-08,0.000363748925225399,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/WFR_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/WFR_Link.STL,,MiniRover Suspension Left Assembly-2/01-20MiniHexWheelAsm-3,WFR CS,WFR A,WFR_joint,continuous,0.2594,0.071514,-0.19154,0,0,0,RockerR_Link,0,-1,0,,,,,,,,,,,,
BogieR_Link,0,0.029525,1.3878E-17,0,0,0,0.011327,3.3403E-06,3.9948E-22,5.7125E-24,1.2812E-07,-1.5993E-21,3.3403E-06,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/BogieR_Link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/BogieR_Link.STL,,MiniRover Suspension Left Assembly-2/MiniShaft-3,Bogie R CS,Bogie R A,BogieR_joint,revolute,-0.13422,0.007669,-0.11529,0,0,0,RockerR_Link,0,1,0,0,0,0,0,,,,,,,,
WMR_Link,0.00022398,0.0076992,0.00022826,0,0,0,0.33748,0.00036372,-8.2389E-08,-1.3185E-07,0.00062163,7.6629E-08,0.00036377,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/WMR_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://UpdatedMiniRover2/meshes/WMR_Link.STL,,MiniRover Suspension Left Assembly-2/01-20MiniHexWheelAsm-1,WMR CS,WMR A,WMR_joint,continuous,0.12416,0.063845,-0.086625,0,0,0,BogieR_Link,0,-1,0,,,,,,,,,,,,
