Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.052189,0.0067678,0.012927,0,0,0,2.9852,0.014337,-1.1922E-08,7.3459E-09,0.019036,-4.2142E-09,0.032935,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/base_link.STL,,Lidar Camera Mount-1;Frame Length-4;Frame Length-2;Base Plate-2;DriversBusbarPlate_MiniRover-1;4SBatteryMiniRover-1;Frame Length-6;7208K51_Low-Profile Mounted Sealed Steel Ball Bearing-1;Frame Length-13;Frame Length-8;Frame Length-9;Frame Length-11;Frame Length-14;Frame Length-12;7208K51_Low-Profile Mounted Sealed Steel Ball Bearing-2;Frame Length-5;Frame Length-19;NuckMiniRover-1;Frame Length-18;Frame Length-7;Frame Length-15;Frame Length-16;7208K51_Low-Profile Mounted Sealed Steel Ball Bearing-3,Base Coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RockerL_Link,0.050587,-0.035481,-0.055476,0,0,0,0.3332,0.00034687,1.649E-08,0.00043675,0.0043799,2.7179E-08,0.0040611,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/RockerL_Link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/RockerL_Link.STL,,MiniRover Suspension Right Assembly-3/MiniShaft-2;MiniRover Suspension Right Assembly-3/RockerV1-2;MiniRover Suspension Right Assembly-3/Mini_rover_Differential AdapterV2-1;MiniRover Suspension Right Assembly-3/60645K213_Ball Joint Linkage-1;MiniRover Suspension Right Assembly-3/RockerInnerPartV2-1;MiniRover Suspension Right Assembly-3/MiniShaft-3;MiniRover Suspension Right Assembly-3/MiniRover BogieAdapter 2025-1,Rocker Shaft L CS,Rocker Shaft L A,RockerL_joint,revolute,0.011312,-0.175,0.03,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
WFL_Link,-1.6522E-06,0.05007,-2.3684E-07,0,0,0,0.56504,0.00052671,-9.122E-08,-1.1343E-07,0.00065637,6.587E-08,0.00052657,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/WFL_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/WFL_Link.STL,,HexWheelAllPART-6;MiniRover Suspension Right Assembly-3/MiniMotor-6,WFL CS,WFL A,WFL_joint,continuous,0.30516,-0.10151,-0.10318,0,0,0,RockerL_Link,0,1,0,,,,,,,,,,,,
BogieL_Link,-0.00822356220886178,-0.029139189435147,-0.0382200373029564,0,0,0,0.0702980115336159,7.20703134768663E-05,-1.97219359884655E-19,8.92310196044317E-05,0.000532837466498414,8.88054668303088E-21,0.000467419083063315,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/BogieL_Link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/BogieL_Link.STL,,MiniRover Suspension Right Assembly-3/MiniShaft-1;MiniRover Suspension Right Assembly-3/bogiev2-2;MiniRover Suspension Right Assembly-3/bogiemotorhousing-1,Bogie L CS,Bogie L A,BogieL_joint,revolute,-0.1098,-0.007669,-0.15093,0,0,0,RockerL_Link,0,1,0,0,0,0,0,,,,,,,,
WML_Link,-1.6522E-06,0.05007,-2.3684E-07,0,0,0,0.56504,0.00052671,-9.122E-08,-1.1343E-07,0.00065637,6.587E-08,0.00052657,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/WML_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/WML_Link.STL,,HexWheelAllPART-2;MiniRover Suspension Right Assembly-3/MiniMotor-7,WML CS,WML A,WML_joint,continuous,0.11074,-0.093845,-0.1033,0,0,0,BogieL_Link,0,1,0,,,,,,,,,,,,
WBL_Link,-1.65221014791772E-06,0.0500702077423368,-2.36837870010165E-07,0,0,0,0.565040594888235,0.000526714406222585,-9.1219621605056E-08,-1.13433191688736E-07,0.000656365395809676,6.58704120596969E-08,0.000526572989890173,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/WBL_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/WBL_Link.STL,,HexWheelAllPART-1;MiniRover Suspension Right Assembly-3/MiniMotor-8,WBL CS,WBL A,WBL_joint,continuous,-0.14343,-0.093845,-0.048586,0,0,0,BogieL_Link,0,1,0,,,,,,,,,,,,
RockerR_Link,0.049722,0.035469,-0.056738,0,0,0,0.3332,0.00037047,1.1846E-08,0.00052743,0.0043799,2.95E-08,0.0040375,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/RockerR_Link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/RockerR_Link.STL,,MiniRover Suspension Left Assembly-2/MiniShaft-2;MiniRover Suspension Left Assembly-2/RockerV1-2;MiniRover Suspension Left Assembly-2/RockerInnerPartV2-1;MiniRover Suspension Left Assembly-2/Mini_rover_Differential AdapterV2-1;MiniRover Suspension Left Assembly-2/60645K213_Ball Joint Linkage-1;MiniRover Suspension Left Assembly-2/MiniRover BogieAdapter 2025-1;MiniRover Suspension Left Assembly-2/MiniShaft-1,Rocker Shaft R CS,Rocker Shaft R A,RockerR_joint,revolute,0.011312,0.175,0.03,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
WFR_Link,1.51271630784156E-06,-0.0500702077423439,7.05393330274751E-07,0,0,0,0.565040594888118,0.000526570192540395,-4.03388131450316E-08,1.10857187516814E-07,0.00065636539580952,-1.0503671122421E-07,0.000526717203572179,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/WFR_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/WFR_Link.STL,,HexWheelAllPART-5;MiniRover Suspension Left Assembly-2/MiniMotor-6,WFR CS,WFR A,WFR_joint,continuous,0.30259,0.10151,-0.11049,0,0,0,RockerR_Link,0,1,0,,,,,,,,,,,,
BogieR_Link,-0.00026789,0.029131,-0.039094,0,0,0,0.070298,5.2885E-05,-5.2376E-20,3.0061E-06,0.00053284,1.8862E-20,0.0004866,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/BogieR_Link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/BogieR_Link.STL,,MiniRover Suspension Left Assembly-2/MiniShaft-3;MiniRover Suspension Left Assembly-2/bogiev2-2;MiniRover Suspension Left Assembly-2/bogiemotorhousing-1,Bogie R CS,Bogie R A,BogieR_joint,revolute,-0.10561,0.007669,-0.14922,0,0,0,RockerR_Link,0,1,0,0,0,0,0,,,,,,,,
WMR_Link,1.5127E-06,-0.05007,7.0539E-07,0,0,0,0.56504,0.00052657,-4.0339E-08,1.1086E-07,0.00065637,-1.0504E-07,0.00052672,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/WMR_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://UpdatedMiniRoverV8/meshes/WMR_Link.STL,,HexWheelAllPART-3;MiniRover Suspension Left Assembly-2/MiniMotor-7,WMR CS,WMR A,WMR_joint,continuous,0.12946,0.093845,-0.078578,0,0,0,BogieR_Link,0,1,0,,,,,,,,,,,,
