Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.323229813769833,0.000141183589907848,0.120313130621598,0,0,0,2.88138673191465,0.0724633578123081,2.4117935594847E-08,-3.29816621665502E-05,0.0548014420226571,8.0293496587126E-10,0.0898029030844551,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/base_link.STL,,2026FrameOverall-1;Differential System Assembly - Final-1/Differential Spacer-1;Differential System Assembly - Final-1/Differential Mount Plate-1;Differential System Assembly - Final-1/Differnetial Bearing Housing-1;Differential System Assembly - Final-1/Differential Shaft Hex Nut - Final-1;Differential System Assembly - Final-1/Differnetial Bearing Housing-2;Differential System Assembly - Final-1/Differential Ball Bearing - Final-2;Differential System Assembly - Final-1/Differential Ball Bearing - Final-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Right Rocker,-0.0470976490281694,-0.0448158737746225,-0.118054988916964,0,0,0,0.974964014824881,0.00284906323511148,-0.00444784140235752,1.33471689810363E-09,0.0172676366004055,9.60008892408592E-10,0.0195862693676572,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/Right Rocker.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/Right Rocker.STL,,Right Leg Assy-2/Rocker Shaft-1;Right Leg Assy-2/Right Rocker Assy-1;Right Leg Assy-2/motor_and_gearbox-3;Right Leg Assy-2/6389K552_Light Duty Dry-Running Nylon Sleeve Bearing (1)-1;Right Leg Assy-2/6389K552_Light Duty Dry-Running Nylon Sleeve Bearing (1)-2;Right Leg Assy-2/Left Handed Ball Joint Socket-1,Origin_Rocker Shaft3,Axis_Rocker Shaft3,Rocker Shaft,revolute,-0.249999999999999,-0.231912500000005,0.103175000000004,1.5707963267949,0,3.14159265358979,base_link,0,0,1,0,0,0,0,,,,,,,,
Right Bogie,0.203635407466599,0.2145400678577,-0.0518013750263509,0,0,0,0.69234892612608,0.00439017289042799,-0.000948428018236932,-1.88916824406535E-09,0.000659039174918484,2.49581956768709E-09,0.00478764386960297,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/Right Bogie.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/Right Bogie.STL,,Right Leg Assy-2/Bogie Shaft-1;Right Leg Assy-2/Bogie Assy-1;Right Leg Assy-2/motor_and_gearbox-1;Right Leg Assy-2/motor_and_gearbox-2,Origin_Bogie Shaft3,Axis_Bogie Shaft3,Bogie Shaft,revolute,0,0,-0.0710724999999995,0,0,-1.3340072638942,Right Rocker,0,0,1,0,0,0,0,,,,,,,,
Left Rocker,-0.0451247596141575,-0.0452705197660333,0.118270519873372,0,0,0,1.00770361002077,0.00285721776922938,-0.00444783818477076,6.76417855514565E-10,0.0172757873818173,-1.47558983143685E-09,0.0195865649048137,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/Left Rocker.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/Left Rocker.STL,,Left Leg Assy-2/Rocker Shaft-1;Left Leg Assy-2/Left Rocker Assy-1;Left Leg Assy-2/6389K552_Light Duty Dry-Running Nylon Sleeve Bearing (1)-1;Left Leg Assy-2/6389K552_Light Duty Dry-Running Nylon Sleeve Bearing (1)-2;Left Leg Assy-2/Left Handed Ball Joint Socket-1;Left Leg Assy-2/motor_and_gearbox-1,Origin_Left Rocker Shaft3,Axis_Left Rocker Shaft3,Left Rocker Shaft,revolute,-0.249999999999993,0.2319125,0.103175,1.5707963267949,0,3.14159265358979,base_link,0,0,1,0,0,0,0,,,,,,,,
Left Bogie,0.272914275860278,0.114071810196028,0.0518013764409567,0,0,0,0.692348926149588,0.0030814865883096,-0.00201735952503282,3.12804196913544E-09,0.00196772547706536,1.15710661689454E-10,0.00478764386963138,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/Left Bogie.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/Left Bogie.STL,,Left Leg Assy-2/Bogie Shaft-1;Left Leg Assy-2/Bogie Assy-1;Left Leg Assy-2/motor_and_gearbox-2;Left Leg Assy-2/motor_and_gearbox-3,Origin_Left Bogie Shaft3,Axis_Left Bogie Shaft3,Left Bogie Shaft,revolute,0,0,0.0710724999999997,0,0,-0.918445891779081,Left Rocker,0,0,1,0,0,0,0,,,,,,,,
Differential,0.0710384527714692,0.000112700908656449,-2.3610871489485E-05,0,0,0,0.554107403626057,0.0238053446113705,-1.15816973049344E-10,-5.06498670032286E-12,0.0225057222235537,-0.00515290954253886,0.00131171927062141,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/Differential.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/Differential.STL,,Differential System Assembly - Final-1/Differential Shaft - Final-2;Differential System Assembly - Final-1/Differential Face Mount Shaft Collar - Final-1;Differential System Assembly - Final-1/Differential Plate - Final - Final-1;Differential System Assembly - Final-1/Differential Plate - Final - Final-2;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-1;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-2;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-3;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-4;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-5;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-6;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-7;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-8;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-9;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-10;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-11;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-14;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-15;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-16;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-17;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-18;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-19;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-20;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-21;Differential System Assembly - Final-1/Differnetial Standoff Nut - Final-22;Differential System Assembly - Final-1/6072K11_Oil-Embedded Ball Joint-Socket-1;Differential System Assembly - Final-1/6072K11_Oil-Embedded Ball Joint-Socket-2,Origin_Differential Shaft3,Axis_Differential Shaft,Differential Shaft,fixed,-0.535735000346326,0,0.172959349967733,1.34449872437947,-1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
Right Link,-0.000471291073627783,0.0112321500184396,0.142506113978008,0,0,0,0.05398550944847,0.000246620491894376,2.33568929226547E-09,-2.91259563380216E-06,0.000246654922094324,1.93850794929742E-07,7.40166661712097E-07,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/Right Link.STL,0.956862745098039,0.956862745098039,0.956862745098039,1,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/Right Link.STL,,Differential System Assembly - Final-1/6072K11_Oil-Embedded Ball Joint-2;Differential System Assembly - Final-1/Hexagonal Differential Link-1;Right Leg Assy-2/Left Handed Ball Joint-1,Origin_Ball Joint3,Axis_Ball Joint,Ball Joint,fixed,0.0560233773404954,0.0853557886785634,0.373801741885768,-1.3176295022306,-0.921537097065375,2.93275549574364,Differential,0,0,0,,,,,,,,,,,,
Left Link,0.00299799683585367,0.0150427510893051,0.142506106117699,0,0,0,0.0539855050480288,0.000246654065741038,5.412008474393E-09,-4.65158454975012E-07,0.000246621269416747,2.88146121733807E-06,7.40160009972091E-07,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/Left Link.STL,0.956862745098039,0.956862745098039,0.956862745098039,1,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/Left Link.STL,,Differential System Assembly - Final-1/6072K11_Oil-Embedded Ball Joint-1;Differential System Assembly - Final-1/Hexagonal Differential Link-2;Left Leg Assy-2/Left Handed Ball Joint-1,Origin_Left Ball Joint3,Axis_Left Ball Joint,Left Ball Joint,fixed,0.0350110824114719,-0.0872504888517618,-0.375654244677153,1.17820685088737,0.685887280433608,-0.262288923601871,Differential,0,0,0,,,,,,,,,,,,
leftGPS,0.00950000000000195,-0.0125,0.00949999999999895,0,0,0,0.00902500000000001,7.41554166666662E-07,1.2981977056571E-23,1.76465197344646E-22,5.43004166666662E-07,-3.65912371745863E-22,7.41554166666668E-07,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/leftGPS.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/leftGPS.STL,,LeftGPS^Chassis-1,Origin_LeftGPS,Axis_gpsLeft,gpsLeft,fixed,-0.259500000000003,0.273263899999999,0.209999999999999,0,0,0,base_link,0,0,0,,,,,,,,,,,,
rightGPS,0.00950000000000001,0.0125,0.00950000000000004,0,0,0,0.00902500000000002,7.41554166666676E-07,-2.83730506341327E-23,-2.061810166457E-22,5.43004166666677E-07,-1.52473566064512E-22,7.41554166666669E-07,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/rightGPS.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/rightGPS.STL,,RightGPS^Chassis-1,Origin_RightGPS,Axis_gpsRight,gpsRight,fixed,-0.259500000000003,-0.273263900000005,0.209999999999999,0,0,0,base_link,0,0,0,,,,,,,,,,,,
IMU,0.00950000000000004,0.0125,0.00950000000000004,0,0,0,0.00902500000000001,7.41554166666668E-07,8.38209687387069E-23,-8.05441709605198E-22,5.43004166666636E-07,3.35283874954827E-23,7.41554166666636E-07,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/IMU.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/IMU.STL,,IMU-1,Origin_IMU,,IMU1,fixed,-0.2575,-0.0125,0.20674,0,0,0,base_link,0,0,0,,,,,,,,,,,,
LiDAR,-0.0261061014235503,-4.55680518327666E-08,0.0285945311604336,0,0,0,0.215990422113963,0.000114309470498173,3.04723500669431E-10,6.62518701274248E-07,0.000117411512226373,3.16376323048442E-11,0.000124138179433063,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/LiDAR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/LiDAR.STL,,Lidar Camera Mount-1;LiDAR Camera-1,LiDAR Coord,,LiDAR joint,fixed,0.0625,0,0.21476,0,0,0,base_link,0,0,0,,,,,,,,,,,,
PTZ,-0.00928620373163125,0.00150178339648377,-0.182772691673925,0,0,0,0.381186493803212,0.0107542084275541,2.60656581835099E-06,-1.38823856983843E-06,0.0106927428807489,-1.71971531949832E-07,0.000187498370638357,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/PTZ.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Chassis_LiDAR.SLDASM/meshes/PTZ.STL,,PTZ ASSY-1/PTZ Holder-2;PTZ ASSY-1/Clamp2-1;PTZ ASSY-1/5972K213_Ball Bearing-1;PTZ ASSY-1/Tower Pro MG90S Micro servo-2;PTZ ASSY-1/13T temp custom-2;PTZ ASSY-1/Tower Pro MG90S Micro servo-1;PTZ ASSY-1/13T temp custom-1;PTZ ASSY-1/39T V6 temp custom-1;PTZ ASSY-1/PTZ Holder Cover-2;PTZ ASSY-1/PTZ Rod-1;PTZ ASSY-1/PivotPlatform-1,PTZ_Coord,Axis_PTZ Cam,PTZ Cam,fixed,-0.60299,0.22239,0.951,0,0,0.2412,base_link,0,0,1,,,,,,,,,,,,
